,count,mean,std,min,25%,50%,75%,max
pH,197.0,0.23549990495434295,0.12671729909151436,0.0,0.15672676837725397,0.22052704576976434,0.27739251040221924,1.0
VSS,197.0,0.3580936329910066,0.15376133124300886,0.0,0.25183512140033876,0.30115189158667416,0.4359119141727837,1.0
Ethanol,197.0,0.4735821123781505,0.25282963738961184,0.0,0.2806943203138325,0.39433736994712604,0.6759338222752856,1.0
Acetate,197.0,0.4465350187686395,0.2259920382462233,0.0,0.26618906377204876,0.38955223880597023,0.6246947082767978,1.0
Propionate,197.0,0.3674590239597239,0.2157947074750722,0.0,0.21268452706396937,0.2796610169491526,0.5369054127938764,1.0
Butyrate,197.0,0.4286702027646857,0.24736087370780077,0.0,0.26334909468342754,0.34367431668780996,0.589320724253258,1.0
Sucrose_Degradation,197.0,0.8042890206303999,0.1459729664841139,0.0,0.7753372651213826,0.8085443800576053,0.8880537649156495,1.0
ORP_Mid,197.0,0.3460911517591458,0.2673017054117892,0.0,0.1400862068965516,0.3383620689655171,0.4870689655172412,0.9999999999999999
ORP_Low,197.0,0.525173641924911,0.17546896589780622,0.0,0.42890442890442904,0.4895104895104896,0.6433566433566434,1.0
VFA,197.0,0.42906659978754935,0.2353441578349682,0.0,0.2532603807525109,0.3358566931494529,0.6309398890721032,1.0
COD-O,197.0,0.5081323946754053,0.19745837537092206,0.0,0.36708860759493667,0.5063291139240506,0.590717299578059,0.9999999999999999
HPR,197.0,0.36548415206608426,0.2765373230978648,0.0,0.1426875204716672,0.2277541216289988,0.6363140080794846,1.0
